tripduration,starttime,stoptime,start station latitude,start station longitude,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1553,07:13.9,33:07.7,40.71517768,-74.03768331,40.74871595,-74.0404433,29462,Subscriber,1980,1
416,16:40.5,23:36.6,40.7308971,-74.06391263,40.72210379,-74.071455,29610,Subscriber,1956,1
294,20:29.8,25:24.0,40.7308971,-74.06391263,40.72572614,-74.07195926,26166,Subscriber,1977,1
97,21:13.8,22:51.6,40.7272235,-74.0337589,40.7242941,-74.0354826,29492,Subscriber,1993,1
286,29:58.0,34:44.2,40.7308971,-74.06391263,40.72210379,-74.071455,29440,Customer,1990,1
192,36:34.4,39:46.4,40.71458404,-74.04281706,40.71458404,-74.04281706,29247,Customer,1969,0
538,08:24.3,17:22.3,40.7177325,-74.043845,40.71346383,-74.06285852,29479,Customer,1996,1
426,16:32.7,23:39.5,40.7272235,-74.0337589,40.72759597,-74.04424731,29659,Customer,1969,0
457,21:01.6,28:38.9,40.7308971,-74.06391263,40.74590997,-74.05727148,26267,Subscriber,1969,1
441,44:56.3,52:17.9,40.71958612,-74.04311746,40.7112423,-74.0557013,29273,Subscriber,1984,1
151,44:59.8,47:31.3,40.71958612,-74.04311746,40.72163014,-74.04996783,29503,Subscriber,1990,1
363,53:56.4,00:00.4,40.7272235,-74.0337589,40.7192517,-74.034234,26207,Subscriber,1949,1
120,08:23.6,10:24.1,40.72152515,-74.04630454,40.72528911,-74.04557168,29592,Subscriber,1996,2
113,22:23.2,24:16.9,40.72152515,-74.04630454,40.72528911,-74.04557168,29291,Subscriber,1993,1
307,13:33.4,18:41.1,40.7308971,-74.06391263,40.7192822,-74.07126188,29295,Subscriber,1977,1
537,47:23.4,56:20.6,40.73367,-74.0625,40.74590997,-74.05727148,29279,Subscriber,1989,1
311,46:59.5,52:11.1,40.7308971,-74.06391263,40.72210379,-74.071455,26221,Subscriber,1986,1
153,48:13.4,50:47.4,40.71458404,-74.04281706,40.71958612,-74.04311746,29656,Subscriber,1992,1
768,10:31.5,23:20.1,40.7246051,-74.07840595,40.71958612,-74.04311746,29534,Subscriber,1996,1
223,29:36.6,33:20.2,40.71435837,-74.06661093,40.7112423,-74.0557013,26212,Customer,1969,0
119,51:42.0,53:41.3,40.71958612,-74.04311746,40.7183552,-74.03891444,29229,Subscriber,1983,1
280,55:57.4,00:37.7,40.7183552,-74.03891444,40.71241882,-74.03852552,29294,Subscriber,1983,1
142,24:29.8,26:52.5,40.7272235,-74.0337589,40.7287448,-74.0321082,29441,Subscriber,1994,2
347,29:34.7,35:22.3,40.71958612,-74.04311746,40.72601173,-74.05038893,29534,Subscriber,1966,1
568,36:11.5,45:39.6,40.72533993,-74.06762213,40.71458404,-74.04281706,29275,Customer,1969,0
449,45:17.9,52:47.8,40.72210379,-74.071455,40.7308971,-74.06391263,29610,Subscriber,1995,1
609,54:57.9,05:06.9,40.71241882,-74.03852552,40.72601173,-74.05038893,29303,Subscriber,1960,1
317,55:01.2,00:18.9,40.72568548,-74.04879034,40.7242941,-74.0354826,29222,Subscriber,1986,2
199,58:23.6,01:42.8,40.72533993,-74.06762213,40.7308971,-74.06391263,26239,Subscriber,1980,1
396,09:32.6,16:09.6,40.72152515,-74.04630454,40.71458404,-74.04281706,26219,Subscriber,1985,2
